Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
Nation Total,,Total,"1,415,742 ","200,783 ","92,787 ","41,298 ","711,209 ","302,674 ","4,360 ","62,631 "
,,Male,"731,498 ","103,444 ","48,702 ","21,633 ","367,436 ","155,682 ","2,272 ","32,329 "
,,Female,"684,244 ","97,339 ","44,085 ","19,665 ","343,773 ","146,992 ","2,088 ","30,302 "
Seoul,Seoul Total,Total,"226,959 ","79,732 ","1,714 ","4,997 ","87,658 ","38,323 ",826 ,"13,709 "
,Seoul Total,Male,"116,643 ","40,850 ",927 ,"2,629 ","45,016 ","19,805 ",419 ,"6,997 "
,Seoul Total,Female,"110,316 ","38,882 ",787 ,"2,368 ","42,642 ","18,518 ",407 ,"6,712 "
,Seoul Jongno-gu,Total,"3,829 ","1,791 ",77 ,118 ,368 ,57 ,0 ,"1,418 "
,Seoul Jongno-gu,Male,"1,963 ",904 ,47 ,69 ,177 ,28 ,0 ,738 
,Seoul Jongno-gu,Female,"1,866 ",887 ,30 ,49 ,191 ,29 ,0 ,680 
,Seoul Jung-gu,Total,"3,500 ","1,702 ",0 ,319 ,335 ,228 ,0 ,916 
,Seoul Jung-gu,Male,"1,830 ",908 ,0 ,168 ,175 ,105 ,0 ,474 
,Seoul Jung-gu,Female,"1,670 ",794 ,0 ,151 ,160 ,123 ,0 ,442 
,Seoul Yongsan-gu,Total,"4,764 ","1,790 ",73 ,294 ,"1,162 ",838 ,29 ,578 
,Seoul Yongsan-gu,Male,"2,470 ",913 ,34 ,160 ,590 ,443 ,19 ,311 
,Seoul Yongsan-gu,Female,"2,294 ",877 ,39 ,134 ,572 ,395 ,10 ,267 
,Seoul Seongdong-gu,Total,"7,286 ","4,058 ",0 ,159 ,"1,664 ","1,184 ",0 ,221 
,Seoul Seongdong-gu,Male,"3,703 ","2,066 ",0 ,83 ,855 ,580 ,0 ,119 
,Seoul Seongdong-gu,Female,"3,583 ","1,992 ",0 ,76 ,809 ,604 ,0 ,102 
,Seoul Gwangjin-gu,Total,"7,548 ","2,303 ",0 ,20 ,"4,098 ",987 ,37 ,103 
,Seoul Gwangjin-gu,Male,"3,888 ","1,160 ",0 ,11 ,"2,106 ",540 ,20 ,51 
,Seoul Gwangjin-gu,Female,"3,660 ","1,143 ",0 ,9 ,"1,992 ",447 ,17 ,52 
,Seoul Dongdaemun-gu,Total,"7,997 ","3,293 ",0 ,163 ,"2,805 ","1,453 ",0 ,283 
,Seoul Dongdaemun-gu,Male,"4,079 ","1,647 ",0 ,86 ,"1,468 ",750 ,0 ,128 
,Seoul Dongdaemun-gu,Female,"3,918 ","1,646 ",0 ,77 ,"1,337 ",703 ,0 ,155 
,Seoul Jungnang-gu,Total,"9,986 ","2,982 ",0 ,254 ,"5,078 ","1,521 ",0 ,151 
,Seoul Jungnang-gu,Male,"5,161 ","1,534 ",0 ,137 ,"2,648 ",769 ,0 ,73 
,Seoul Jungnang-gu,Female,"4,825 ","1,448 ",0 ,117 ,"2,430 ",752 ,0 ,78 
,Seoul Seongbuk-gu,Total,"9,470 ","3,529 ",103 ,876 ,"3,056 ","1,670 ",34 ,202 
,Seoul Seongbuk-gu,Male,"4,871 ","1,822 ",58 ,456 ,"1,567 ",838 ,18 ,112 
,Seoul Seongbuk-gu,Female,"4,599 ","1,707 ",45 ,420 ,"1,489 ",832 ,16 ,90 
,Seoul Gangbuk-gu,Total,"7,260 ","2,253 ",73 ,116 ,"4,115 ",613 ,24 ,66 
,Seoul Gangbuk-gu,Male,"3,741 ","1,140 ",40 ,71 ,"2,103 ",337 ,11 ,39 
,Seoul Gangbuk-gu,Female,"3,519 ","1,113 ",33 ,45 ,"2,012 ",276 ,13 ,27 
,Seoul Dobong-gu,Total,"8,350 ","2,271 ",24 ,56 ,"4,207 ","1,631 ",28 ,133 
,Seoul Dobong-gu,Male,"4,312 ","1,169 ",13 ,26 ,"2,146 ",878 ,18 ,62 
,Seoul Dobong-gu,Female,"4,038 ","1,102 ",11 ,30 ,"2,061 ",753 ,10 ,71 
,Seoul Nowon-gu,Total,"11,689 ","3,977 ",168 ,0 ,"3,042 ","4,213 ",27 ,262 
,Seoul Nowon-gu,Male,"5,984 ","2,018 ",86 ,0 ,"1,561 ","2,170 ",18 ,131 
,Seoul Nowon-gu,Female,"5,705 ","1,959 ",82 ,0 ,"1,481 ","2,043 ",9 ,131 
,Seoul Eunpyeong-gu,Total,"11,719 ","2,579 ",63 ,195 ,"7,730 ","1,054 ",32 ,66 
,Seoul Eunpyeong-gu,Male,"6,020 ","1,358 ",37 ,92 ,"3,966 ",527 ,11 ,29 
,Seoul Eunpyeong-gu,Female,"5,699 ","1,221 ",26 ,103 ,"3,764 ",527 ,21 ,37 
,Seoul Seodaemun-gu,Total,"6,346 ","2,702 ",0 ,111 ,"2,281 ",819 ,16 ,417 
,Seoul Seodaemun-gu,Male,"3,239 ","1,393 ",0 ,59 ,"1,109 ",452 ,7 ,219 
,Seoul Seodaemun-gu,Female,"3,107 ","1,309 ",0 ,52 ,"1,172 ",367 ,9 ,198 
,Seoul Mapo-gu,Total,"8,224 ","3,819 ",0 ,179 ,"2,259 ","1,311 ",145 ,511 
,Seoul Mapo-gu,Male,"4,159 ","1,944 ",0 ,91 ,"1,121 ",679 ,76 ,248 
,Seoul Mapo-gu,Female,"4,065 ","1,875 ",0 ,88 ,"1,138 ",632 ,69 ,263 
,Seoul Yangcheon-gu,Total,"10,853 ","3,984 ",0 ,53 ,"4,048 ","2,491 ",16 ,261 
,Seoul Yangcheon-gu,Male,"5,577 ","2,072 ",0 ,27 ,"2,080 ","1,250 ",9 ,139 
,Seoul Yangcheon-gu,Female,"5,276 ","1,912 ",0 ,26 ,"1,968 ","1,241 ",7 ,122 
,Seoul Gangseo-gu,Total,"15,583 ","3,952 ",259 ,116 ,"7,196 ","3,347 ",66 ,647 
,Seoul Gangseo-gu,Male,"8,068 ","2,051 ",144 ,51 ,"3,710 ","1,732 ",33 ,347 
,Seoul Gangseo-gu,Female,"7,515 ","1,901 ",115 ,65 ,"3,486 ","1,615 ",33 ,300 
,Seoul Guro-gu,Total,"11,886 ","3,697 ",279 ,411 ,"4,675 ","2,395 ",107 ,322 
,Seoul Guro-gu,Male,"6,077 ","1,886 ",152 ,221 ,"2,356 ","1,250 ",46 ,166 
,Seoul Guro-gu,Female,"5,809 ","1,811 ",127 ,190 ,"2,319 ","1,145 ",61 ,156 
,Seoul Geumcheon-gu,Total,"6,722 ","2,357 ",220 ,549 ,"2,495 ",778 ,8 ,315 
,Seoul Geumcheon-gu,Male,"3,430 ","1,204 ",112 ,276 ,"1,277 ",400 ,3 ,158 
,Seoul Geumcheon-gu,Female,"3,292 ","1,153 ",108 ,273 ,"1,218 ",378 ,5 ,157 
,Seoul Yeongdeungpo-gu,Total,"10,469 ","3,299 ",104 ,40 ,"3,252 ","1,634 ",0 ,"2,140 "
,Seoul Yeongdeungpo-gu,Male,"5,339 ","1,653 ",57 ,22 ,"1,660 ",863 ,0 ,"1,084 "
,Seoul Yeongdeungpo-gu,Female,"5,130 ","1,646 ",47 ,18 ,"1,592 ",771 ,0 ,"1,056 "
,Seoul Dongjak-gu,Total,"8,398 ","3,368 ",86 ,92 ,"3,159 ","1,412 ",40 ,241 
,Seoul Dongjak-gu,Male,"4,333 ","1,738 ",51 ,55 ,"1,630 ",717 ,23 ,119 
,Seoul Dongjak-gu,Female,"4,065 ","1,630 ",35 ,37 ,"1,529 ",695 ,17 ,122 
,Seoul Gwanak-gu,Total,"9,820 ","3,806 ",27 ,365 ,"3,483 ","1,636 ",9 ,494 
,Seoul Gwanak-gu,Male,"5,044 ","1,945 ",15 ,211 ,"1,784 ",823 ,3 ,263 
,Seoul Gwanak-gu,Female,"4,776 ","1,861 ",12 ,154 ,"1,699 ",813 ,6 ,231 
,Seoul Seocho-gu,Total,"9,040 ","4,307 ",0 ,221 ,"1,900 ","1,103 ",72 ,"1,437 "
,Seoul Seocho-gu,Male,"4,595 ","2,201 ",0 ,113 ,973 ,569 ,39 ,700 
,Seoul Seocho-gu,Female,"4,445 ","2,106 ",0 ,108 ,927 ,534 ,33 ,737 
,Seoul Gangnam-gu,Total,"9,371 ","4,018 ",0 ,0 ,"3,022 ","1,076 ",61 ,"1,194 "
,Seoul Gangnam-gu,Male,"4,810 ","2,061 ",0 ,0 ,"1,547 ",560 ,27 ,615 
,Seoul Gangnam-gu,Female,"4,561 ","1,957 ",0 ,0 ,"1,475 ",516 ,34 ,579 
,Seoul Songpa-gu,Total,"15,307 ","4,329 ",76 ,149 ,"6,564 ","3,080 ",58 ,"1,051 "
,Seoul Songpa-gu,Male,"7,901 ","2,220 ",37 ,69 ,"3,441 ","1,573 ",33 ,528 
,Seoul Songpa-gu,Female,"7,406 ","2,109 ",39 ,80 ,"3,123 ","1,507 ",25 ,523 
,Seoul Gangdong-gu,Total,"11,542 ","3,566 ",82 ,141 ,"5,664 ","1,792 ",17 ,280 
,Seoul Gangdong-gu,Male,"6,049 ","1,843 ",44 ,75 ,"2,966 ",972 ,5 ,144 
,Seoul Gangdong-gu,Female,"5,493 ","1,723 ",38 ,66 ,"2,698 ",820 ,12 ,136 
Busan,Busan Total,Total,"73,586 ","11,574 ","5,655 ","2,350 ","38,161 ","13,029 ",309 ,"2,508 "
,Busan Total,Male,"38,074 ","5,992 ","2,994 ","1,234 ","19,787 ","6,610 ",164 ,"1,293 "
,Busan Total,Female,"35,512 ","5,582 ","2,661 ","1,116 ","18,374 ","6,419 ",145 ,"1,215 "
,Busan Jung-gu,Total,775 ,285 ,42 ,0 ,339 ,37 ,0 ,72 
,Busan Jung-gu,Male,420 ,154 ,28 ,0 ,182 ,22 ,0 ,34 
,Busan Jung-gu,Female,355 ,131 ,14 ,0 ,157 ,15 ,0 ,38 
,Busan Seo-gu,Total,"1,671 ",647 ,111 ,129 ,680 ,104 ,0 ,0 
,Busan Seo-gu,Male,891 ,332 ,61 ,77 ,371 ,50 ,0 ,0 
,Busan Seo-gu,Female,780 ,315 ,50 ,52 ,309 ,54 ,0 ,0 
,Busan Dong-gu,Total,"1,597 ",488 ,187 ,106 ,549 ,110 ,0 ,157 
,Busan Dong-gu,Male,846 ,265 ,97 ,52 ,298 ,55 ,0 ,79 
,Busan Dong-gu,Female,751 ,223 ,90 ,54 ,251 ,55 ,0 ,78 
,Busan Yeongdo-gu,Total,"2,130 ",764 ,85 ,371 ,678 ,163 ,0 ,69 
,Busan Yeongdo-gu,Male,"1,080 ",383 ,38 ,186 ,354 ,83 ,0 ,36 
,Busan Yeongdo-gu,Female,"1,050 ",381 ,47 ,185 ,324 ,80 ,0 ,33 
,Busan Busanjin-gu,Total,"6,195 ","1,278 ",365 ,164 ,"2,825 ","1,029 ",35 ,499 
,Busan Busanjin-gu,Male,"3,174 ",655 ,194 ,96 ,"1,430 ",527 ,21 ,251 
,Busan Busanjin-gu,Female,"3,021 ",623 ,171 ,68 ,"1,395 ",502 ,14 ,248 
,Busan Dongnae-gu,Total,"5,410 ",819 ,297 ,0 ,"3,371 ",691 ,67 ,165 
,Busan Dongnae-gu,Male,"2,866 ",426 ,153 ,0 ,"1,806 ",360 ,32 ,89 
,Busan Dongnae-gu,Female,"2,544 ",393 ,144 ,0 ,"1,565 ",331 ,35 ,76 
,Busan Nam-gu,Total,"5,540 ","1,155 ",426 ,126 ,"2,430 ","1,073 ",47 ,283 
,Busan Nam-gu,Male,"2,859 ",594 ,234 ,68 ,"1,219 ",570 ,28 ,146 
,Busan Nam-gu,Female,"2,681 ",561 ,192 ,58 ,"1,211 ",503 ,19 ,137 
,Busan Buk-gu,Total,"6,473 ",467 ,411 ,37 ,"3,973 ","1,525 ",50 ,10 
,Busan Buk-gu,Male,"3,351 ",247 ,223 ,21 ,"2,054 ",776 ,26 ,4 
,Busan Buk-gu,Female,"3,122 ",220 ,188 ,16 ,"1,919 ",749 ,24 ,6 
,Busan Haeundae-gu,Total,"8,095 ",943 ,928 ,85 ,"4,519 ","1,391 ",17 ,212 
,Busan Haeundae-gu,Male,"4,211 ",477 ,497 ,44 ,"2,366 ",706 ,8 ,113 
,Busan Haeundae-gu,Female,"3,884 ",466 ,431 ,41 ,"2,153 ",685 ,9 ,99 
,Busan Saha-gu,Total,"8,170 ","1,489 ",645 ,572 ,"3,966 ","1,449 ",0 ,49 
,Busan Saha-gu,Male,"4,263 ",782 ,335 ,301 ,"2,065 ",750 ,0 ,30 
,Busan Saha-gu,Female,"3,907 ",707 ,310 ,271 ,"1,901 ",699 ,0 ,19 
,Busan Geumjeong-gu,Total,"4,381 ",599 ,363 ,43 ,"2,643 ",507 ,41 ,185 
,Busan Geumjeong-gu,Male,"2,269 ",319 ,194 ,24 ,"1,377 ",238 ,25 ,92 
,Busan Geumjeong-gu,Female,"2,112 ",280 ,169 ,19 ,"1,266 ",269 ,16 ,93 
,Busan Gangseo-gu,Total,"4,690 ",391 ,579 ,0 ,"2,017 ","1,360 ",0 ,343 
,Busan Gangseo-gu,Male,"2,391 ",192 ,294 ,0 ,"1,049 ",667 ,0 ,189 
,Busan Gangseo-gu,Female,"2,299 ",199 ,285 ,0 ,968 ,693 ,0 ,154 
,Busan Yeonje-gu,Total,"4,234 ",381 ,201 ,369 ,"2,605 ",481 ,0 ,197 
,Busan Yeonje-gu,Male,"2,130 ",195 ,95 ,192 ,"1,314 ",242 ,0 ,92 
,Busan Yeonje-gu,Female,"2,104 ",186 ,106 ,177 ,"1,291 ",239 ,0 ,105 
,Busan Suyeong-gu,Total,"3,335 ",370 ,423 ,150 ,"2,056 ",325 ,0 ,11 
,Busan Suyeong-gu,Male,"1,748 ",202 ,233 ,69 ,"1,075 ",165 ,0 ,4 
,Busan Suyeong-gu,Female,"1,587 ",168 ,190 ,81 ,981 ,160 ,0 ,7 
,Busan Sasang-gu,Total,"4,646 ",814 ,165 ,198 ,"2,433 ","1,031 ",0 ,5 
,Busan Sasang-gu,Male,"2,363 ",408 ,92 ,104 ,"1,252 ",505 ,0 ,2 
,Busan Sasang-gu,Female,"2,283 ",406 ,73 ,94 ,"1,181 ",526 ,0 ,3 
,Busan Gijang-gun,Total,"6,244 ",684 ,427 ,0 ,"3,077 ","1,753 ",52 ,251 
,Busan Gijang-gun,Male,"3,212 ",361 ,226 ,0 ,"1,575 ",894 ,24 ,132 
,Busan Gijang-gun,Female,"3,032 ",323 ,201 ,0 ,"1,502 ",859 ,28 ,119 
Daegu,Daegu Total,Total,"56,943 ","4,982 ","10,069 ","1,514 ","30,927 ","7,679 ",102 ,"1,670 "
,Daegu Total,Male,"29,489 ","2,603 ","5,321 ",801 ,"15,968 ","3,877 ",51 ,868 
,Daegu Total,Female,"27,454 ","2,379 ","4,748 ",713 ,"14,959 ","3,802 ",51 ,802 
,Daegu Jung-gu,Total,"1,530 ",151 ,261 ,71 ,735 ,166 ,0 ,146 
,Daegu Jung-gu,Male,770 ,79 ,129 ,41 ,363 ,80 ,0 ,78 
,Daegu Jung-gu,Female,760 ,72 ,132 ,30 ,372 ,86 ,0 ,68 
,Daegu Dong-gu,Total,"8,541 ",753 ,"1,257 ",126 ,"5,063 ",927 ,19 ,396 
,Daegu Dong-gu,Male,"4,406 ",378 ,611 ,75 ,"2,650 ",475 ,11 ,206 
,Daegu Dong-gu,Female,"4,135 ",375 ,646 ,51 ,"2,413 ",452 ,8 ,190 
,Daegu Seo-gu,Total,"4,379 ",346 ,415 ,183 ,"2,951 ",446 ,0 ,38 
,Daegu Seo-gu,Male,"2,255 ",175 ,224 ,91 ,"1,533 ",212 ,0 ,20 
,Daegu Seo-gu,Female,"2,124 ",171 ,191 ,92 ,"1,418 ",234 ,0 ,18 
,Daegu Nam-gu,Total,"2,679 ",241 ,"1,058 ",248 ,955 ,131 ,19 ,27 
,Daegu Nam-gu,Male,"1,379 ",125 ,551 ,127 ,490 ,65 ,8 ,13 
,Daegu Nam-gu,Female,"1,300 ",116 ,507 ,121 ,465 ,66 ,11 ,14 
,Daegu Buk-gu,Total,"10,669 ",571 ,"1,850 ",156 ,"6,084 ","1,839 ",15 ,154 
,Daegu Buk-gu,Male,"5,543 ",312 ,"1,008 ",84 ,"3,142 ",900 ,6 ,91 
,Daegu Buk-gu,Female,"5,126 ",259 ,842 ,72 ,"2,942 ",939 ,9 ,63 
,Daegu Suseong-gu,Total,"7,814 ",878 ,"2,489 ",200 ,"2,999 ",735 ,36 ,477 
,Daegu Suseong-gu,Male,"4,051 ",466 ,"1,320 ",104 ,"1,525 ",371 ,20 ,245 
,Daegu Suseong-gu,Female,"3,763 ",412 ,"1,169 ",96 ,"1,474 ",364 ,16 ,232 
,Daegu Dalseo-gu,Total,"13,110 ",919 ,"1,612 ",530 ,"7,518 ","2,239 ",0 ,292 
,Daegu Dalseo-gu,Male,"6,902 ",486 ,882 ,279 ,"3,934 ","1,169 ",0 ,152 
,Daegu Dalseo-gu,Female,"6,208 ",433 ,730 ,251 ,"3,584 ","1,070 ",0 ,140 
,Daegu Dalseong-gun,Total,"8,221 ","1,123 ","1,127 ",0 ,"4,622 ","1,196 ",13 ,140 
,Daegu Dalseong-gun,Male,"4,183 ",582 ,596 ,0 ,"2,331 ",605 ,6 ,63 
,Daegu Dalseong-gun,Female,"4,038 ",541 ,531 ,0 ,"2,291 ",591 ,7 ,77 
Incheon,Incheon Total,Total,"79,164 ","9,433 ",858 ,998 ,"46,489 ","17,906 ",182 ,"3,298 "
,Incheon Total,Male,"41,027 ","4,904 ",460 ,532 ,"24,063 ","9,257 ",95 ,"1,716 "
,Incheon Total,Female,"38,137 ","4,529 ",398 ,466 ,"22,426 ","8,649 ",87 ,"1,582 "
,Incheon Jung-gu,Total,"3,581 ",735 ,63 ,32 ,922 ,951 ,0 ,878 
,Incheon Jung-gu,Male,"1,831 ",345 ,36 ,22 ,469 ,496 ,0 ,463 
,Incheon Jung-gu,Female,"1,750 ",390 ,27 ,10 ,453 ,455 ,0 ,415 
,Incheon Dong-gu,Total,"1,771 ",488 ,0 ,0 ,817 ,342 ,0 ,124 
,Incheon Dong-gu,Male,938 ,280 ,0 ,0 ,428 ,166 ,0 ,64 
,Incheon Dong-gu,Female,833 ,208 ,0 ,0 ,389 ,176 ,0 ,60 
,Incheon Michuhol-gu,Total,"10,554 ","1,207 ",217 ,123 ,"7,043 ","1,586 ",71 ,307 
,Incheon Michuhol-gu,Male,"5,466 ",616 ,115 ,61 ,"3,622 ",840 ,37 ,175 
,Incheon Michuhol-gu,Female,"5,088 ",591 ,102 ,62 ,"3,421 ",746 ,34 ,132 
,Incheon Yeonsu-gu,Total,"8,978 ","1,432 ",0 ,39 ,"4,391 ","2,686 ",0 ,430 
,Incheon Yeonsu-gu,Male,"4,607 ",758 ,0 ,17 ,"2,240 ","1,388 ",0 ,204 
,Incheon Yeonsu-gu,Female,"4,371 ",674 ,0 ,22 ,"2,151 ","1,298 ",0 ,226 
,Incheon Namdong-gu,Total,"14,400 ","1,851 ",227 ,182 ,"8,777 ","3,006 ",0 ,357 
,Incheon Namdong-gu,Male,"7,497 ",946 ,119 ,95 ,"4,585 ","1,558 ",0 ,194 
,Incheon Namdong-gu,Female,"6,903 ",905 ,108 ,87 ,"4,192 ","1,448 ",0 ,163 
,Incheon Bupyong-gu,Total,"13,581 ","1,162 ",284 ,179 ,"8,019 ","3,370 ",59 ,508 
,Incheon Bupyong-gu,Male,"7,040 ",655 ,144 ,100 ,"4,115 ","1,745 ",33 ,248 
,Incheon Bupyong-gu,Female,"6,541 ",507 ,140 ,79 ,"3,904 ","1,625 ",26 ,260 
,Incheon Gyeyang-gu,Total,"8,414 ",718 ,0 ,30 ,"5,891 ","1,629 ",27 ,119 
,Incheon Gyeyang-gu,Male,"4,341 ",377 ,0 ,12 ,"3,063 ",812 ,12 ,65 
,Incheon Gyeyang-gu,Female,"4,073 ",341 ,0 ,18 ,"2,828 ",817 ,15 ,54 
,Incheon Seo-gu,Total,"16,727 ","1,289 ",67 ,357 ,"10,193 ","4,270 ",25 ,526 
,Incheon Seo-gu,Male,"8,714 ",647 ,46 ,193 ,"5,322 ","2,217 ",13 ,276 
,Incheon Seo-gu,Female,"8,013 ",642 ,21 ,164 ,"4,871 ","2,053 ",12 ,250 
,Incheon Ganghwa-gun,Total,836 ,371 ,0 ,56 ,343 ,46 ,0 ,20 
,Incheon Ganghwa-gun,Male,425 ,187 ,0 ,32 ,171 ,22 ,0 ,13 
,Incheon Ganghwa-gun,Female,411 ,184 ,0 ,24 ,172 ,24 ,0 ,7 
,Incheon Ongjin-gun,Total,322 ,180 ,0 ,0 ,93 ,20 ,0 ,29 
,Incheon Ongjin-gun,Male,168 ,93 ,0 ,0 ,48 ,13 ,0 ,14 
,Incheon Ongjin-gun,Female,154 ,87 ,0 ,0 ,45 ,7 ,0 ,15 
Gwangju,Gwangju Total,Total,"44,134 ","2,303 ","7,785 ","1,383 ","22,441 ","8,581 ",186 ,"1,455 "
,Gwangju Total,Male,"22,924 ","1,174 ","4,134 ",748 ,"11,629 ","4,373 ",99 ,767 
,Gwangju Total,Female,"21,210 ","1,129 ","3,651 ",635 ,"10,812 ","4,208 ",87 ,688 
