Classification,,,Total,Public childcare center,Social welfare corporation childcare center,Corporate organization childcare center,Private childcare center,Home childcare center,Parent cooperative childcare center,Workplace childcare center
,South Jeolla Hampyeong-gun,Male,261 ,35 ,207 ,6 ,4 ,9 ,0 ,0 
,South Jeolla Hampyeong-gun,Female,254 ,24 ,202 ,10 ,8 ,10 ,0 ,0 
,South Jeolla Yeongwang-gun,Total,"1,135 ",39 ,606 ,196 ,152 ,51 ,0 ,91 
,South Jeolla Yeongwang-gun,Male,586 ,19 ,310 ,104 ,77 ,26 ,0 ,50 
,South Jeolla Yeongwang-gun,Female,549 ,20 ,296 ,92 ,75 ,25 ,0 ,41 
,South Jeolla Jangseong-gun,Total,810 ,212 ,324 ,50 ,65 ,36 ,0 ,123 
,South Jeolla Jangseong-gun,Male,386 ,97 ,145 ,28 ,39 ,16 ,0 ,61 
,South Jeolla Jangseong-gun,Female,424 ,115 ,179 ,22 ,26 ,20 ,0 ,62 
,South Jeolla Wando-gun,Total,"1,064 ",193 ,375 ,227 ,210 ,59 ,0 ,0 
,South Jeolla Wando-gun,Male,567 ,108 ,181 ,128 ,114 ,36 ,0 ,0 
,South Jeolla Wando-gun,Female,497 ,85 ,194 ,99 ,96 ,23 ,0 ,0 
,South Jeolla Jindo-gun,Total,558 ,84 ,259 ,136 ,40 ,39 ,0 ,0 
,South Jeolla Jindo-gun,Male,286 ,37 ,127 ,73 ,25 ,24 ,0 ,0 
,South Jeolla Jindo-gun,Female,272 ,47 ,132 ,63 ,15 ,15 ,0 ,0 
,South Jeolla Sinan-gun,Total,403 ,125 ,278 ,0 ,0 ,0 ,0 ,0 
,South Jeolla Sinan-gun,Male,214 ,64 ,150 ,0 ,0 ,0 ,0 ,0 
,South Jeolla Sinan-gun,Female,189 ,61 ,128 ,0 ,0 ,0 ,0 ,0 
North Gyeongsang,North Gyeongsang Total,Total,"67,914 ","5,810 ","5,336 ","1,855 ","39,323 ","12,317 ",74 ,"3,199 "
,North Gyeongsang Total,Male,"35,271 ","2,969 ","2,869 ",993 ,"20,457 ","6,325 ",32 ,"1,626 "
,North Gyeongsang Total,Female,"32,643 ","2,841 ","2,467 ",862 ,"18,866 ","5,992 ",42 ,"1,573 "
,North Gyeongsang Pohang-si,Total,"14,324 ",736 ,772 ,85 ,"8,610 ","3,540 ",0 ,581 
,North Gyeongsang Pohang-si,Male,"7,596 ",396 ,436 ,45 ,"4,544 ","1,875 ",0 ,300 
,North Gyeongsang Pohang-si,Female,"6,728 ",340 ,336 ,40 ,"4,066 ","1,665 ",0 ,281 
,North Gyeongsang Gyeongju-si,Total,"6,145 ",310 ,497 ,108 ,"3,790 ","1,051 ",0 ,389 
,North Gyeongsang Gyeongju-si,Male,"3,148 ",149 ,259 ,54 ,"1,926 ",544 ,0 ,216 
,North Gyeongsang Gyeongju-si,Female,"2,997 ",161 ,238 ,54 ,"1,864 ",507 ,0 ,173 
,North Gyeongsang Gimcheon-si,Total,"3,475 ",354 ,436 ,14 ,"1,546 ",703 ,0 ,422 
,North Gyeongsang Gimcheon-si,Male,"1,781 ",188 ,257 ,5 ,774 ,346 ,0 ,211 
,North Gyeongsang Gimcheon-si,Female,"1,694 ",166 ,179 ,9 ,772 ,357 ,0 ,211 
,North Gyeongsang Andong-si,Total,"3,828 ",424 ,686 ,91 ,"1,882 ",404 ,0 ,341 
,North Gyeongsang Andong-si,Male,"1,996 ",216 ,367 ,44 ,978 ,218 ,0 ,173 
,North Gyeongsang Andong-si,Female,"1,832 ",208 ,319 ,47 ,904 ,186 ,0 ,168 
,North Gyeongsang Gumi-si,Total,"14,572 ",526 ,612 ,282 ,"8,671 ","3,735 ",74 ,672 
,North Gyeongsang Gumi-si,Male,"7,485 ",265 ,333 ,146 ,"4,515 ","1,856 ",32 ,338 
,North Gyeongsang Gumi-si,Female,"7,087 ",261 ,279 ,136 ,"4,156 ","1,879 ",42 ,334 
,North Gyeongsang Yeongju-si,Total,"2,395 ",307 ,217 ,331 ,"1,379 ",144 ,0 ,17 
,North Gyeongsang Yeongju-si,Male,"1,240 ",144 ,119 ,192 ,703 ,76 ,0 ,6 
,North Gyeongsang Yeongju-si,Female,"1,155 ",163 ,98 ,139 ,676 ,68 ,0 ,11 
,North Gyeongsang Yeongcheon-si,Total,"1,980 ",201 ,307 ,0 ,"1,165 ",204 ,0 ,103 
,North Gyeongsang Yeongcheon-si,Male,"1,024 ",95 ,155 ,0 ,611 ,105 ,0 ,58 
,North Gyeongsang Yeongcheon-si,Female,956 ,106 ,152 ,0 ,554 ,99 ,0 ,45 
,North Gyeongsang Sangju-si,Total,"1,366 ",129 ,57 ,40 ,964 ,157 ,0 ,19 
,North Gyeongsang Sangju-si,Male,720 ,59 ,25 ,24 ,531 ,72 ,0 ,9 
,North Gyeongsang Sangju-si,Female,646 ,70 ,32 ,16 ,433 ,85 ,0 ,10 
,North Gyeongsang Mungyeong-si,Total,"1,311 ",181 ,151 ,65 ,726 ,175 ,0 ,13 
,North Gyeongsang Mungyeong-si,Male,690 ,98 ,76 ,28 ,390 ,92 ,0 ,6 
,North Gyeongsang Mungyeong-si,Female,621 ,83 ,75 ,37 ,336 ,83 ,0 ,7 
,North Gyeongsang Gyeongsan-si,Total,"7,347 ",321 ,629 ,255 ,"4,862 ","1,004 ",0 ,276 
,North Gyeongsang Gyeongsan-si,Male,"3,777 ",172 ,326 ,132 ,"2,513 ",511 ,0 ,123 
,North Gyeongsang Gyeongsan-si,Female,"3,570 ",149 ,303 ,123 ,"2,349 ",493 ,0 ,153 
,North Gyeongsang Gunwi-gun,Total,209 ,15 ,101 ,0 ,93 ,0 ,0 ,0 
,North Gyeongsang Gunwi-gun,Male,115 ,11 ,51 ,0 ,53 ,0 ,0 ,0 
,North Gyeongsang Gunwi-gun,Female,94 ,4 ,50 ,0 ,40 ,0 ,0 ,0 
,North Gyeongsang Uiseong-gun,Total,641 ,95 ,357 ,64 ,107 ,18 ,0 ,0 
,North Gyeongsang Uiseong-gun,Male,334 ,45 ,181 ,37 ,59 ,12 ,0 ,0 
,North Gyeongsang Uiseong-gun,Female,307 ,50 ,176 ,27 ,48 ,6 ,0 ,0 
,North Gyeongsang Cheongsong-gun,Total,316 ,117 ,28 ,41 ,74 ,19 ,0 ,37 
,North Gyeongsang Cheongsong-gun,Male,166 ,62 ,16 ,17 ,38 ,15 ,0 ,18 
,North Gyeongsang Cheongsong-gun,Female,150 ,55 ,12 ,24 ,36 ,4 ,0 ,19 
,North Gyeongsang Yeongyang-gun,Total,186 ,123 ,0 ,42 ,21 ,0 ,0 ,0 
,North Gyeongsang Yeongyang-gun,Male,95 ,59 ,0 ,26 ,10 ,0 ,0 ,0 
,North Gyeongsang Yeongyang-gun,Female,91 ,64 ,0 ,16 ,11 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Total,688 ,247 ,0 ,0 ,441 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Male,343 ,128 ,0 ,0 ,215 ,0 ,0 ,0 
,North Gyeongsang Yeongdeok-gun,Female,345 ,119 ,0 ,0 ,226 ,0 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Total,367 ,171 ,45 ,0 ,131 ,20 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Male,186 ,89 ,18 ,0 ,69 ,10 ,0 ,0 
,North Gyeongsang Cheongdo-gun,Female,181 ,82 ,27 ,0 ,62 ,10 ,0 ,0 
,North Gyeongsang Goryeong-gun,Total,672 ,202 ,49 ,0 ,421 ,0 ,0 ,0 
,North Gyeongsang Goryeong-gun,Male,345 ,95 ,28 ,0 ,222 ,0 ,0 ,0 
,North Gyeongsang Goryeong-gun,Female,327 ,107 ,21 ,0 ,199 ,0 ,0 ,0 
,North Gyeongsang Seongju-gun,Total,553 ,189 ,0 ,0 ,269 ,95 ,0 ,0 
,North Gyeongsang Seongju-gun,Male,281 ,93 ,0 ,0 ,137 ,51 ,0 ,0 
,North Gyeongsang Seongju-gun,Female,272 ,96 ,0 ,0 ,132 ,44 ,0 ,0 
,North Gyeongsang Chilgok-gun,Total,"4,655 ",317 ,188 ,225 ,"3,094 ",733 ,0 ,98 
,North Gyeongsang Chilgok-gun,Male,"2,441 ",155 ,106 ,125 ,"1,621 ",377 ,0 ,57 
,North Gyeongsang Chilgok-gun,Female,"2,214 ",162 ,82 ,100 ,"1,473 ",356 ,0 ,41 
,North Gyeongsang Yecheon-gun,Total,"1,198 ",159 ,159 ,115 ,497 ,259 ,0 ,9 
,North Gyeongsang Yecheon-gun,Male,621 ,76 ,92 ,62 ,243 ,142 ,0 ,6 
,North Gyeongsang Yecheon-gun,Female,577 ,83 ,67 ,53 ,254 ,117 ,0 ,3 
,North Gyeongsang Bonghwa-gun,Total,376 ,191 ,45 ,47 ,64 ,29 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Male,217 ,113 ,24 ,28 ,40 ,12 ,0 ,0 
,North Gyeongsang Bonghwa-gun,Female,159 ,78 ,21 ,19 ,24 ,17 ,0 ,0 
,North Gyeongsang Uljin-gun,Total,"1,247 ",432 ,0 ,50 ,516 ,27 ,0 ,222 
,North Gyeongsang Uljin-gun,Male,632 ,223 ,0 ,28 ,265 ,11 ,0 ,105 
,North Gyeongsang Uljin-gun,Female,615 ,209 ,0 ,22 ,251 ,16 ,0 ,117 
,North Gyeongsang Ulleung-gun,Total,63 ,63 ,0 ,0 ,0 ,0 ,0 ,0 
,North Gyeongsang Ulleung-gun,Male,38 ,38 ,0 ,0 ,0 ,0 ,0 ,0 
,North Gyeongsang Ulleung-gun,Female,25 ,25 ,0 ,0 ,0 ,0 ,0 ,0 
South Gyeongsang,South Gyeongsang Total,Total,"99,755 ","9,265 ","6,559 ","2,650 ","53,551 ","24,280 ",156 ,"3,294 "
,South Gyeongsang Total,Male,"51,632 ","4,799 ","3,407 ","1,384 ","27,819 ","12,441 ",86 ,"1,696 "
,South Gyeongsang Total,Female,"48,123 ","4,466 ","3,152 ","1,266 ","25,732 ","11,839 ",70 ,"1,598 "
,South Gyeongsang Changwon-si,Total,"29,967 ","2,797 ","1,836 ",763 ,"14,908 ","8,178 ",0 ,"1,485 "
,South Gyeongsang Changwon-si,Male,"15,582 ","1,436 ",975 ,416 ,"7,822 ","4,153 ",0 ,780 
,South Gyeongsang Changwon-si,Female,"14,385 ","1,361 ",861 ,347 ,"7,086 ","4,025 ",0 ,705 
,South Gyeongsang Jinju-si,Total,"11,379 ",954 ,642 ,211 ,"7,081 ","1,978 ",0 ,513 
,South Gyeongsang Jinju-si,Male,"5,946 ",524 ,318 ,112 ,"3,727 ","1,004 ",0 ,261 
,South Gyeongsang Jinju-si,Female,"5,433 ",430 ,324 ,99 ,"3,354 ",974 ,0 ,252 
,South Gyeongsang Tongyeong-si,Total,"4,190 ",606 ,228 ,69 ,"2,569 ",596 ,0 ,122 
,South Gyeongsang Tongyeong-si,Male,"2,105 ",305 ,103 ,32 ,"1,303 ",305 ,0 ,57 
,South Gyeongsang Tongyeong-si,Female,"2,085 ",301 ,125 ,37 ,"1,266 ",291 ,0 ,65 
,South Gyeongsang Sacheon-si,Total,"4,257 ",441 ,230 ,238 ,"2,565 ",562 ,0 ,221 
,South Gyeongsang Sacheon-si,Male,"2,202 ",242 ,121 ,126 ,"1,312 ",281 ,0 ,120 
,South Gyeongsang Sacheon-si,Female,"2,055 ",199 ,109 ,112 ,"1,253 ",281 ,0 ,101 
,South Gyeongsang Gimhae-si,Total,"16,940 ","1,383 ",511 ,173 ,"8,983 ","5,807 ",0 ,83 
,South Gyeongsang Gimhae-si,Male,"8,763 ",705 ,290 ,90 ,"4,636 ","2,998 ",0 ,44 
,South Gyeongsang Gimhae-si,Female,"8,177 ",678 ,221 ,83 ,"4,347 ","2,809 ",0 ,39 
,South Gyeongsang Miryang-si,Total,"2,163 ",91 ,590 ,31 ,"1,126 ",294 ,0 ,31 
,South Gyeongsang Miryang-si,Male,"1,083 ",40 ,303 ,16 ,570 ,140 ,0 ,14 
,South Gyeongsang Miryang-si,Female,"1,080 ",51 ,287 ,15 ,556 ,154 ,0 ,17 
,South Gyeongsang Geoje-si,Total,"9,983 ",698 ,299 ,0 ,"6,143 ","2,290 ",17 ,536 
,South Gyeongsang Geoje-si,Male,"5,125 ",357 ,151 ,0 ,"3,149 ","1,182 ",12 ,274 
,South Gyeongsang Geoje-si,Female,"4,858 ",341 ,148 ,0 ,"2,994 ","1,108 ",5 ,262 
,South Gyeongsang Yangsan-si,Total,"12,072 ",439 ,"1,039 ",92 ,"6,316 ","3,886 ",139 ,161 
,South Gyeongsang Yangsan-si,Male,"6,287 ",216 ,529 ,42 ,"3,320 ","2,030 ",74 ,76 
,South Gyeongsang Yangsan-si,Female,"5,785 ",223 ,510 ,50 ,"2,996 ","1,856 ",65 ,85 
,South Gyeongsang Uiryeong-gun,Total,336 ,91 ,0 ,105 ,105 ,35 ,0 ,0 
,South Gyeongsang Uiryeong-gun,Male,182 ,55 ,0 ,52 ,61 ,14 ,0 ,0 
,South Gyeongsang Uiryeong-gun,Female,154 ,36 ,0 ,53 ,44 ,21 ,0 ,0 
,South Gyeongsang Haman-gun,Total,"1,642 ",147 ,243 ,47 ,766 ,353 ,0 ,86 
,South Gyeongsang Haman-gun,Male,842 ,78 ,149 ,26 ,381 ,168 ,0 ,40 
,South Gyeongsang Haman-gun,Female,800 ,69 ,94 ,21 ,385 ,185 ,0 ,46 
,South Gyeongsang Changnyeong-gun,Total,"1,092 ",231 ,216 ,76 ,523 ,19 ,0 ,27 
,South Gyeongsang Changnyeong-gun,Male,577 ,114 ,111 ,47 ,279 ,11 ,0 ,15 
,South Gyeongsang Changnyeong-gun,Female,515 ,117 ,105 ,29 ,244 ,8 ,0 ,12 
,South Gyeongsang Goseong-gun,Total,"1,224 ",199 ,175 ,162 ,604 ,84 ,0 ,0 
,South Gyeongsang Goseong-gun,Male,605 ,97 ,78 ,75 ,313 ,42 ,0 ,0 
,South Gyeongsang Goseong-gun,Female,619 ,102 ,97 ,87 ,291 ,42 ,0 ,0 
,South Gyeongsang Namhae-gun,Total,644 ,120 ,0 ,292 ,213 ,19 ,0 ,0 
,South Gyeongsang Namhae-gun,Male,328 ,67 ,0 ,141 ,108 ,12 ,0 ,0 
,South Gyeongsang Namhae-gun,Female,316 ,53 ,0 ,151 ,105 ,7 ,0 ,0 
,South Gyeongsang Hadong-gun,Total,758 ,100 ,188 ,135 ,306 ,0 ,0 ,29 
,South Gyeongsang Hadong-gun,Male,394 ,54 ,90 ,76 ,159 ,0 ,0 ,15 
,South Gyeongsang Hadong-gun,Female,364 ,46 ,98 ,59 ,147 ,0 ,0 ,14 
,South Gyeongsang Sancheong-gun,Total,509 ,358 ,0 ,66 ,85 ,0 ,0 ,0 
,South Gyeongsang Sancheong-gun,Male,269 ,203 ,0 ,26 ,40 ,0 ,0 ,0 
,South Gyeongsang Sancheong-gun,Female,240 ,155 ,0 ,40 ,45 ,0 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Total,621 ,187 ,324 ,22 ,51 ,37 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Male,326 ,88 ,171 ,15 ,26 ,26 ,0 ,0 
,South Gyeongsang Hamgyang-gun,Female,295 ,99 ,153 ,7 ,25 ,11 ,0 ,0 
,South Gyeongsang Geochang-gun,Total,"1,467 ",244 ,0 ,43 ,"1,098 ",82 ,0 ,0 
,South Gyeongsang Geochang-gun,Male,741 ,124 ,0 ,19 ,553 ,45 ,0 ,0 
,South Gyeongsang Geochang-gun,Female,726 ,120 ,0 ,24 ,545 ,37 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Total,511 ,179 ,38 ,125 ,109 ,60 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Male,275 ,94 ,18 ,73 ,60 ,30 ,0 ,0 
,South Gyeongsang Hapcheon-gun,Female,236 ,85 ,20 ,52 ,49 ,30 ,0 ,0 
Jeju,Jeju Total,Total,"26,458 ","1,991 ","6,419 ","2,777 ","12,131 ","2,229 ",0 ,911 
,Jeju Total,Male,"13,617 ","1,023 ","3,347 ","1,434 ","6,195 ","1,173 ",0 ,445 
,Jeju Total,Female,"12,841 ",968 ,"3,072 ","1,343 ","5,936 ","1,056 ",0 ,466 
,Jeju Jeju-si,Total,"20,066 ","1,063 ","4,134 ","1,793 ","10,293 ","1,957 ",0 ,826 
,Jeju Jeju-si,Male,"10,372 ",554 ,"2,161 ",943 ,"5,278 ","1,038 ",0 ,398 
,Jeju Jeju-si,Female,"9,694 ",509 ,"1,973 ",850 ,"5,015 ",919 ,0 ,428 
,Jeju Seogwipo-si,Total,"6,392 ",928 ,"2,285 ",984 ,"1,838 ",272 ,0 ,85 
,Jeju Seogwipo-si,Male,"3,245 ",469 ,"1,186 ",491 ,917 ,135 ,0 ,47 
,Jeju Seogwipo-si,Female,"3,147 ",459 ,"1,099 ",493 ,921 ,137 ,0 ,38 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
